Timestamp,What is your general opinion on the NSA?,How familiar are you with function of the NSA (United States National Security Agency)?,Where do you live?,How familiar are you with actions of Edward Snowden in relation to the NSA activities?,How would you judge your level of proficiency in using information technology?,Did the NSA revelations (information disseminated by Edward Snowden) change your opinion of the NSA?,Do you find NSA revelations concerning?,Did the NSA revelations increase your information security awareness?,,,
1.15.2015 1:36:00,Slightly positive,Very familiar,USA,Very familiar,Reasonably proficient,Slightly diminished,Somewhat concerning,Slightly increased,,,
1.15.2015 1:41:45,Somewhat negative,Very familiar,USA,Very familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 1:43:11,Neutral,Slightly familiar,USA,Reasonably familiar,Somewhat proficient,Somewhat diminished,Somewhat concerning,Slightly increased,,,
1.15.2015 1:48:13,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.15.2015 1:50:48,Slightly negative,Reasonably familiar,USA,Very familiar,Very proficient,Slightly diminished,Somewhat concerning,Decidedly increased,,,
1.15.2015 1:53:19,Decidedly negative,Very familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 1:53:24,Somewhat negative,Slightly familiar,EU,Somewhat familiar,Slightly proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 2:04:21,Extremely negative,Very familiar,Other,Very familiar,Very proficient,Greatly improved,Very concerning,Not at all,,,
1.15.2015 2:06:05,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.15.2015 2:11:13,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 2:17:48,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Did not influence,Very concerning,Somewhat increased,,,
1.15.2015 2:17:55,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 2:24:12,Slightly positive,Slightly familiar,USA,Slightly familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Greatly increased,,,
1.15.2015 2:25:39,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 2:37:02,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Did not influence,Very concerning,Decidedly increased,,,
1.15.2015 2:39:54,Somewhat positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Slightly concerning,Not at all,,,
1.15.2015 2:41:09,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 2:47:57,Somewhat positive,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Did not influence,Very concerning,Somewhat increased,,,
1.15.2015 2:49:32,Neutral,Slightly familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 2:54:05,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 2:59:54,Decidedly negative,Very familiar,BRIC countries,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased
1.15.2015 3:04:10,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.15.2015 3:07:30,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 3:18:24,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 3:19:36,Decidedly negative,Somewhat familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Somewhat concerning,Greatly increased,,,
1.15.2015 3:20:28,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 3:25:42,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 3:33:51,Neutral,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Slightly increased,,,
1.15.2015 3:36:25,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Not at all,,,
1.15.2015 3:44:35,Slightly negative,Very familiar,Other,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 3:55:21,Slightly negative,Slightly familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 3:57:50,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.15.2015 3:58:14,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Did not influence,Very concerning,Greatly increased,,,
1.15.2015 4:02:09,Somewhat negative,Very familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 4:04:06,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.15.2015 4:04:42,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.15.2015 4:12:56,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 4:15:16,Slightly positive,Very familiar,USA,Very familiar,Very proficient,Slightly diminished,Not concerning at all,Slightly increased,,,
1.15.2015 4:16:28,Slightly negative,Somewhat familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.15.2015 4:19:28,Extremely negative,Somewhat familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 4:25:22,Extremely negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.15.2015 4:34:30,Somewhat positive,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
1.15.2015 4:34:32,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 4:47:49,Slightly negative,Somewhat familiar,Other,Somewhat familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Somewhat increased,,,
1.15.2015 4:48:51,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.15.2015 4:48:55,Somewhat negative,Reasonably familiar,USA,Somewhat familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 4:49:24,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 5:05:14,Decidedly negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 5:05:54,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 5:07:25,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Somewhat improved,Very concerning,Slightly increased,,,
1.15.2015 5:08:26,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Slightly increased,,,
1.15.2015 5:14:12,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 5:14:15,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 5:15:08,Slightly positive,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.15.2015 5:21:14,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.15.2015 5:29:17,Neutral,Slightly familiar,USA,Slightly familiar,Reasonably proficient,Somewhat diminished,Slightly concerning,Somewhat increased,,,
1.15.2015 5:36:11,Somewhat negative,Slightly familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.15.2015 5:36:24,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 5:40:51,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 5:48:50,Neutral,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 5:51:10,Extremely negative,Slightly familiar,Other,Somewhat familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 6:00:19,Extremely negative,Somewhat familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 6:11:47,Somewhat negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Not at all,,,
1.15.2015 6:12:55,Extremely negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 6:32:46,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Very concerning,Slightly increased,,,
1.15.2015 6:48:57,Extremely positive,Very familiar,USA,Very familiar,Very proficient,Somewhat improved,Not concerning at all,Slightly increased,,,
1.15.2015 7:07:06,Decidedly negative,Reasonably familiar,USA,Very familiar,Somewhat proficient,Greatly diminished,Somewhat concerning,Not at all,,,
1.15.2015 7:13:42,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.15.2015 7:21:10,Neutral,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 7:23:12,Somewhat negative,Slightly familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 7:26:35,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Very proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 7:33:22,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 7:33:56,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.15.2015 8:04:30,Extremely negative,Reasonably familiar,Other,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 8:08:17,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Did not influence,Slightly concerning,Not at all,,,
1.15.2015 8:35:15,Extremely negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 8:59:03,Neutral,Very familiar,Other,Very familiar,Reasonably proficient,Did not influence,Very concerning,Not at all,,,
1.15.2015 9:00:45,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.15.2015 9:17:19,Neutral,Not familiar at all,BRIC countries,Somewhat familiar,Somewhat proficient,Did not influence,Slightly concerning,Somewhat increased
1.15.2015 9:57:43,Decidedly positive,Very familiar,EU,Very familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.15.2015 10:02:17,Decidedly negative,Slightly familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 10:20:02,Slightly positive,Reasonably familiar,USA,Very familiar,Reasonably proficient,Did not influence,Slightly concerning,Somewhat increased,,,
1.15.2015 10:52:49,Extremely negative,Somewhat familiar,EU,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 11:11:56,Somewhat negative,Not familiar at all,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Not at all,,,
1.15.2015 11:29:03,Slightly negative,Reasonably familiar,USA,Not familiar at all,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.15.2015 12:39:56,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Very concerning,Somewhat increased,,,
1.15.2015 12:44:20,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.15.2015 13:35:38,Somewhat negative,Reasonably familiar,EU,Very familiar,Very proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.15.2015 13:47:53,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.15.2015 13:49:36,Decidedly negative,Somewhat familiar,EU,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.15.2015 17:59:55,Slightly negative,Reasonably familiar,BRIC countries,Somewhat familiar,Somewhat proficient,Slightly diminished,Somewhat concerning,Slightly increased
1.15.2015 19:15:08,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.15.2015 19:21:05,Somewhat negative,Slightly familiar,EU,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 20:23:00,Decidedly positive,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.15.2015 23:33:49,Somewhat negative,Slightly familiar,EU,Slightly familiar,Reasonably proficient,Did not influence,Somewhat concerning,Somewhat increased,,,
1.16.2015 21:55:55,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.17.2015 0:36:02,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.17.2015 3:53:53,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.17.2015 15:23:58,Decidedly negative,Reasonably familiar,EU,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.17.2015 15:45:33,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Slightly concerning,Slightly increased,,,
1.17.2015 15:41:15,Slightly negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Somewhat diminished,Slightly concerning,Not at all,,,
1.17.2015 15:51:51,Neutral,Somewhat familiar,USA,Slightly familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.17.2015 15:54:10,Somewhat negative,Very familiar,EU,Very familiar,Very proficient,Somewhat diminished,Somewhat concerning,Somewhat increased,,,
1.17.2015 15:56:39,Slightly negative,Reasonably familiar,EU,Very familiar,Very proficient,Somewhat diminished,Slightly concerning,Slightly increased,,,
1.17.2015 16:58:08,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.17.2015 17:06:34,Decidedly negative,Slightly familiar,Other,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.17.2015 17:21:30,Decidedly negative,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.17.2015 17:25:14,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.17.2015 18:09:03,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Slightly proficient,Greatly diminished,Somewhat concerning,Not at all,,,
1.17.2015 18:13:20,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.17.2015 18:22:22,Decidedly negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.17.2015 18:22:51,Somewhat negative,Somewhat familiar,Other,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.17.2015 18:24:04,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.17.2015 18:31:44,Neutral,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
1.17.2015 18:54:27,Decidedly negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.17.2015 19:10:07,Slightly negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Did not influence,Slightly concerning,Slightly increased,,,
1.17.2015 19:13:54,Somewhat positive,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Decidedly increased,,,
1.17.2015 19:20:01,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.17.2015 19:30:28,Somewhat negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.17.2015 19:50:09,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.17.2015 21:00:19,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Slightly diminished,Very concerning,Not at all,,,
1.17.2015 23:17:13,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.18.2015 0:03:58,Decidedly positive,Very familiar,EU,Very familiar,Very proficient,Did not influence,Slightly concerning,Slightly increased,,,
1.18.2015 1:44:58,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.18.2015 2:22:04,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.18.2015 3:03:41,Somewhat positive,Very familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.18.2015 3:30:08,Decidedly negative,Somewhat familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.18.2015 4:32:13,Decidedly negative,Very familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.18.2015 7:29:48,Somewhat negative,Slightly familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.18.2015 8:06:16,Slightly negative,Reasonably familiar,Other,Very familiar,Reasonably proficient,Greatly diminished,Somewhat concerning,Slightly increased,,,
1.18.2015 8:17:18,Decidedly negative,Reasonably familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.18.2015 8:21:07,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.18.2015 9:07:51,Somewhat negative,Slightly familiar,EU,Slightly familiar,Reasonably proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.18.2015 10:33:00,Somewhat negative,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.18.2015 10:43:54,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.18.2015 11:01:01,Somewhat negative,Somewhat familiar,Other,Somewhat familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Slightly increased,,,
1.18.2015 11:31:07,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.18.2015 14:31:01,Decidedly positive,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Slightly concerning,Slightly increased,,,
1.18.2015 21:05:13,Decidedly negative,Very familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.18.2015 23:20:47,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Did not influence,Very concerning,Slightly increased,,,
1.18.2015 23:40:03,Slightly negative,Somewhat familiar,USA,Somewhat familiar,Somewhat proficient,Somewhat diminished,Somewhat concerning,Decidedly increased,,,
1.19.2015 1:39:04,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.19.2015 1:58:29,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.19.2015 3:36:18,Decidedly negative,Reasonably familiar,USA,Very familiar,Somewhat proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.19.2015 8:47:23,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Slightly concerning,Decidedly increased,,,
1.20.2015 5:52:16,Extremely negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.20.2015 23:42:29,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 15:03:02,Neutral,Slightly familiar,BRIC countries,Somewhat familiar,Reasonably proficient,Slightly diminished,Decidedly concerning,Somewhat increased
1.21.2015 15:20:18,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.21.2015 15:23:02,Neutral,Slightly familiar,USA,Not familiar at all,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.21.2015 15:26:01,Neutral,Not familiar at all,Other,Not familiar at all,Reasonably proficient,Did not influence,Somewhat concerning,Not at all,,,
1.21.2015 15:27:03,Somewhat negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Did not influence,Somewhat concerning,Not at all,,,
1.21.2015 15:27:19,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 15:35:43,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Slightly diminished,Very concerning,Slightly increased,,,
1.21.2015 15:36:22,Decidedly negative,Somewhat familiar,EU,Slightly familiar,Slightly proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.21.2015 15:48:36,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.21.2015 16:06:49,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.21.2015 16:07:04,Extremely negative,Somewhat familiar,Other,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 16:13:10,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 16:29:41,Decidedly negative,Reasonably familiar,EU,Somewhat familiar,Slightly proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 16:32:40,Neutral,Very familiar,EU,Reasonably familiar,Very proficient,Did not influence,Decidedly concerning,Not at all,,,
1.21.2015 16:43:09,Somewhat negative,Slightly familiar,Other,Slightly familiar,Somewhat proficient,Greatly diminished,Somewhat concerning,Not at all,,,
1.21.2015 16:58:23,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.21.2015 17:04:55,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 17:07:00,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Slightly concerning,Decidedly increased,,,
1.21.2015 17:09:24,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 17:26:00,Somewhat positive,Reasonably familiar,EU,Very familiar,Very proficient,Slightly diminished,Not concerning at all,Slightly increased,,,
1.21.2015 17:39:45,Decidedly negative,Very familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.21.2015 17:44:07,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Slightly increased,,,
1.21.2015 17:50:13,Decidedly negative,Slightly familiar,EU,Slightly familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.21.2015 18:01:36,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.21.2015 18:07:51,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 18:15:00,Extremely negative,Somewhat familiar,EU,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 18:17:24,Decidedly negative,Somewhat familiar,EU,Somewhat familiar,Very proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.21.2015 18:18:38,Extremely negative,Very familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 18:22:16,Decidedly negative,Somewhat familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 18:39:01,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 18:43:03,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.21.2015 18:44:08,Extremely negative,Somewhat familiar,EU,Somewhat familiar,Somewhat proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 18:47:43,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Somewhat improved,Not concerning at all,Not at all,,,
1.21.2015 18:47:54,Extremely negative,Reasonably familiar,USA,Very familiar,Slightly proficient,Did not influence,Very concerning,Decidedly increased,,,
1.21.2015 18:56:24,Slightly negative,Somewhat familiar,USA,Slightly familiar,Somewhat proficient,Did not influence,Decidedly concerning,Somewhat increased,,,
1.21.2015 19:00:24,Decidedly negative,Slightly familiar,USA,Somewhat familiar,Somewhat proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.21.2015 19:04:06,Somewhat negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.21.2015 19:04:31,Extremely negative,Reasonably familiar,Other,Reasonably familiar,Reasonably proficient,Did not influence,Very concerning,Somewhat increased,,,
1.21.2015 19:05:37,Extremely negative,Reasonably familiar,EU,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.21.2015 19:29:03,Decidedly negative,Somewhat familiar,BRIC countries,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased
1.21.2015 19:37:29,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.21.2015 19:43:20,Decidedly negative,Slightly familiar,USA,Slightly familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 19:56:00,Extremely negative,Reasonably familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
